    PID CMD
   4763 /snap/firefox/4793/usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 31591 -prefMapSize 253147 -jsInitLen 234852 -parentBuildID 20240819223648 -greomni /snap/firefox/4793/usr/lib/firefox/omni.ja -appomni /snap/firefox/4793/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4793/usr/lib/firefox/browser {3647c2d1-b91e-4bb6-9dd0-f17019f9be38} 3628 true tab
   5697 /snap/firefox/4793/usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 31591 -prefMapSize 253147 -jsInitLen 234852 -parentBuildID 20240819223648 -greomni /snap/firefox/4793/usr/lib/firefox/omni.ja -appomni /snap/firefox/4793/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4793/usr/lib/firefox/browser {f59063f9-3d87-42c8-9e8f-09cc655b4d1b} 3628 true tab
   5997 /snap/firefox/4793/usr/lib/firefox/firefox -contentproc -childID 8 -isForBrowser -prefsLen 31591 -prefMapSize 253147 -jsInitLen 234852 -parentBuildID 20240819223648 -greomni /snap/firefox/4793/usr/lib/firefox/omni.ja -appomni /snap/firefox/4793/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4793/usr/lib/firefox/browser {488dc79f-6f80-4125-ad66-92ceb2a88c36} 3628 true tab
   4035 /snap/firefox/4793/usr/lib/firefox/firefox -contentproc -parentBuildID 20240819223648 -prefsLen 31384 -prefMapSize 253147 -appDir /snap/firefox/4793/usr/lib/firefox/browser {a65cb4c2-73db-4ca1-8fa5-187278feb6ce} 3628 true socket
   6330 /snap/firefox/4793/usr/lib/firefox/firefox -contentproc -parentBuildID 20240819223648 -prefsLen 36329 -prefMapSize 253147 -appDir /snap/firefox/4793/usr/lib/firefox/browser {9953de51-c638-499e-bb48-c5869eabdaf4} 3628 true rdd
   4704 /snap/firefox/4793/usr/lib/firefox/firefox -contentproc -parentBuildID 20240819223648 -sandboxingKind 0 -prefsLen 36329 -prefMapSize 253147 -appDir /snap/firefox/4793/usr/lib/firefox/browser {cfd5cf6a-dd22-4227-9bab-b524dc01f7cc} 3628 true utility
   2804 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
   2857 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
   2691 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1001/at-spi/bus_0
   2358 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   3323 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   2955 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2347 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1001/keyring
   2765 /usr/bin/gnome-shell
   3142 /usr/bin/gnome-software --gapplication-service
   8604 /usr/bin/gnome-text-editor /home/arsany_adel/arsany_Linux_tasks/task-5/processes.txt
   2984 /usr/bin/ibus-daemon --panel disable --xim
   7709 /usr/bin/nautilus --gapplication-service
   2337 /usr/bin/pipewire
   2338 /usr/bin/pipewire -c filter-chain.conf
   2344 /usr/bin/pipewire-pulse
   1468 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   4105 /usr/bin/snap userd
   6118 /usr/bin/speech-dispatcher -s -t 0
   5730 /usr/bin/update-notifier
   2342 /usr/bin/wireplumber
    979 /usr/libexec/accounts-daemon
   2863 /usr/libexec/at-spi2-registryd --use-gnome-session
   2684 /usr/libexec/at-spi-bus-launcher
    961 /usr/libexec/bluetooth/bluetoothd
   1677 /usr/libexec/colord
   2940 /usr/libexec/dconf-service
   3264 /usr/libexec/evolution-addressbook-factory
   3217 /usr/libexec/evolution-calendar-factory
   3088 /usr/libexec/evolution-data-server/evolution-alarm-notify
   2934 /usr/libexec/evolution-source-registry
   2202 /usr/libexec/fwupd/fwupd
   2706 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1001/gcr
   2470 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
    965 /usr/libexec/gnome-remote-desktop-daemon --system
   2592 /usr/libexec/gnome-session-binary --session=ubuntu
   2732 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   2707 /usr/libexec/gnome-session-ctl --monitor
   2926 /usr/libexec/gnome-shell-calendar-server
   5823 /usr/libexec/gnome-terminal-server
   3014 /usr/libexec/goa-daemon
   3118 /usr/libexec/goa-identity-service
   2986 /usr/libexec/gsd-a11y-settings
   2987 /usr/libexec/gsd-color
   2988 /usr/libexec/gsd-datetime
   3105 /usr/libexec/gsd-disk-utility-notify
   2993 /usr/libexec/gsd-housekeeping
   2996 /usr/libexec/gsd-keyboard
   3001 /usr/libexec/gsd-media-keys
   3010 /usr/libexec/gsd-power
   3216 /usr/libexec/gsd-printer
   3022 /usr/libexec/gsd-print-notifications
   3024 /usr/libexec/gsd-rfkill
   3033 /usr/libexec/gsd-screensaver-proxy
   3040 /usr/libexec/gsd-sharing
   3042 /usr/libexec/gsd-smartcard
   3044 /usr/libexec/gsd-sound
   3046 /usr/libexec/gsd-wacom
   3050 /usr/libexec/gsd-xsettings
   3285 /usr/libexec/gvfs-afc-volume-monitor
   2721 /usr/libexec/gvfsd
   2729 /usr/libexec/gvfsd-fuse /run/user/1001/gvfs -f
   5593 /usr/libexec/gvfsd-http --spawner :1.25 /org/gtk/gvfs/exec_spaw/1
   3588 /usr/libexec/gvfsd-metadata
   7749 /usr/libexec/gvfsd-recent --spawner :1.25 /org/gtk/gvfs/exec_spaw/2
   3445 /usr/libexec/gvfsd-trash --spawner :1.25 /org/gtk/gvfs/exec_spaw/0
   3247 /usr/libexec/gvfs-goa-volume-monitor
   3255 /usr/libexec/gvfs-gphoto2-volume-monitor
   3227 /usr/libexec/gvfs-mtp-volume-monitor
   3081 /usr/libexec/gvfs-udisks2-volume-monitor
   3116 /usr/libexec/ibus-dconf
   3362 /usr/libexec/ibus-engine-simple
   3120 /usr/libexec/ibus-extension-gtk3
   3139 /usr/libexec/ibus-portal
   3124 /usr/libexec/ibus-x11 --kill-daemon
   2860 /usr/libexec/mutter-x11-frames
    970 /usr/libexec/power-profiles-daemon
   1529 /usr/libexec/rtkit-daemon
    985 /usr/libexec/switcheroo-control
   3371 /usr/libexec/tracker-miner-fs-3
    994 /usr/libexec/udisks2/udisksd
   1730 /usr/libexec/upowerd
   3361 /usr/libexec/xdg-desktop-portal
   3379 /usr/libexec/xdg-desktop-portal-gnome
   3470 /usr/libexec/xdg-desktop-portal-gtk
   2393 /usr/libexec/xdg-document-portal
   2399 /usr/libexec/xdg-permission-store
    968 /usr/lib/polkit-1/polkitd --no-debug
    976 /usr/lib/snapd/snapd
   6180 /usr/lib/speech-dispatcher-modules/sd_dummy /etc/speech-dispatcher/modules/dummy.conf
   6172 /usr/lib/speech-dispatcher-modules/sd_espeak-ng /etc/speech-dispatcher/modules/espeak-ng.conf
   6183 /usr/lib/speech-dispatcher-modules/sd_openjtalk /etc/speech-dispatcher/modules/openjtalk.conf
    419 /usr/lib/systemd/systemd-journald
    992 /usr/lib/systemd/systemd-logind
    916 /usr/lib/systemd/systemd-oomd
    917 /usr/lib/systemd/systemd-resolved
    918 /usr/lib/systemd/systemd-timesyncd
    481 /usr/lib/systemd/systemd-udevd
   2322 /usr/lib/systemd/systemd --user
   2476 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1001/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
    982 /usr/sbin/cron -f -P
   2157 /usr/sbin/cups-browsed
   1462 /usr/sbin/cupsd -l
   1478 /usr/sbin/gdm3
   2163 /usr/sbin/kerneloops
   2160 /usr/sbin/kerneloops --test
   1150 /usr/sbin/ModemManager
   1020 /usr/sbin/NetworkManager --no-daemon
   1092 /usr/sbin/rsyslogd -n -iNONE
   1024 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   4987 /usr/share/discord/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/arsany_adel/.config/discord/Crashpad --url=https://f.a.k/e --annotation=_productName=discord --annotation=_version=0.0.65 --annotation=lsb-release=Ubuntu 24.04 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=30.2.0 --initial-client-fd=43 --shared-client-connection
   4957 /usr/share/discord/Discord
   5035 /usr/share/discord/Discord --type=gpu-process --crashpad-handler-pid=4987 --enable-crash-reporter=5dc18c67-1d8b-4526-9cb1-912c293691bf,no_channel --user-data-dir=/home/arsany_adel/.config/discord --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=3,i,466789347346516095,555274910654847375,262144 --enable-features=kWebSQLAccess --disable-features=AllowAggressiveThrottlingWithWebSocket,HardwareMediaKeyHandling,IntensiveWakeUpThrottling,MediaSessionService,SpareRendererForSitePerProcess,UseEcoQoSForBackgroundProcess,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version
   5141 /usr/share/discord/Discord --type=renderer --crashpad-handler-pid=4987 --enable-crash-reporter=5dc18c67-1d8b-4526-9cb1-912c293691bf,no_channel --user-data-dir=/home/arsany_adel/.config/discord --secure-schemes=disclip,sentry-ipc --bypasscsp-schemes=sentry-ipc --cors-schemes=sentry-ipc --fetch-schemes=disclip,sentry-ipc --app-path=/usr/share/discord/resources/app.asar --no-sandbox --no-zygote --autoplay-policy=no-user-gesture-required --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1724588834022385 --launch-time-ticks=746245728 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,466789347346516095,555274910654847375,262144 --enable-features=kWebSQLAccess --disable-features=AllowAggressiveThrottlingWithWebSocket,HardwareMediaKeyHandling,IntensiveWakeUpThrottling,MediaSessionService,SpareRendererForSitePerProcess,UseEcoQoSForBackgroundProcess,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --enable-node-leakage-in-renderers
   5200 /usr/share/discord/Discord --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=4987 --enable-crash-reporter=5dc18c67-1d8b-4526-9cb1-912c293691bf,no_channel --user-data-dir=/home/arsany_adel/.config/discord --secure-schemes=disclip,sentry-ipc --bypasscsp-schemes=sentry-ipc --cors-schemes=sentry-ipc --fetch-schemes=disclip,sentry-ipc --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,466789347346516095,555274910654847375,262144 --enable-features=kWebSQLAccess --disable-features=AllowAggressiveThrottlingWithWebSocket,HardwareMediaKeyHandling,IntensiveWakeUpThrottling,MediaSessionService,SpareRendererForSitePerProcess,UseEcoQoSForBackgroundProcess,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version
   5040 /usr/share/discord/Discord --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=4987 --enable-crash-reporter=5dc18c67-1d8b-4526-9cb1-912c293691bf,no_channel --user-data-dir=/home/arsany_adel/.config/discord --secure-schemes=disclip,sentry-ipc --bypasscsp-schemes=sentry-ipc --cors-schemes=sentry-ipc --fetch-schemes=disclip,sentry-ipc --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,466789347346516095,555274910654847375,262144 --enable-features=kWebSQLAccess --disable-features=AllowAggressiveThrottlingWithWebSocket,HardwareMediaKeyHandling,IntensiveWakeUpThrottling,MediaSessionService,SpareRendererForSitePerProcess,UseEcoQoSForBackgroundProcess,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version
   4967 /usr/share/discord/Discord --type=zygote
   4969 /usr/share/discord/Discord --type=zygote
   4966 /usr/share/discord/Discord --type=zygote --no-zygote-sandbox
    138 [watchdogd]
